iter	MultiClass
323	-0.5063115321
324	-0.5061672311
325	-0.5060490469
326	-0.5059664828
327	-0.5059257454
328	-0.505827959
329	-0.5057321087
330	-0.5056134526
331	-0.5055147918
332	-0.5053995893
333	-0.5053363455
334	-0.5052282581
335	-0.5051308071
336	-0.5050700172
337	-0.5048891399
338	-0.5048017938
339	-0.5047516534
340	-0.5046168812
341	-0.5045321535
342	-0.5045059912
343	-0.5044302747
344	-0.5043462577
345	-0.5043005219
346	-0.5041908332
347	-0.5041183776
348	-0.5040386561
349	-0.5039926701
350	-0.5038841444
351	-0.5038247889
352	-0.5037672978
353	-0.5036841991
354	-0.5035808845
355	-0.5035377762
356	-0.5034515481
357	-0.5033787455
358	-0.5032679633
359	-0.5032067961
360	-0.5030992916
361	-0.5029921225
362	-0.5028663124
363	-0.5028035001
364	-0.5027441637
365	-0.5026366777
366	-0.5025126489
367	-0.5024246796
368	-0.502373102
369	-0.5023010582
370	-0.5022013152
371	-0.5021200264
372	-0.5020832502
373	-0.5020072128
374	-0.5019027573
375	-0.501790211
376	-0.5017326062
377	-0.5016460458
378	-0.5015702437
379	-0.5014791824
380	-0.5013759773
381	-0.5013570611
382	-0.5012441027
383	-0.5011787832
384	-0.5010697778
385	-0.5010099384
386	-0.5009774912
387	-0.500913835
388	-0.500851533
389	-0.500765648
390	-0.5007143218
391	-0.500620725
392	-0.5005587715
393	-0.500514128
394	-0.5004125627
395	-0.5003264144
396	-0.5002639153
397	-0.5001955693
398	-0.5001406873
399	-0.5000782788
400	-0.5000316988
401	-0.4999568534
402	-0.4998117008
403	-0.4997608215
404	-0.4996832099
405	-0.4996022955
406	-0.4995618354
407	-0.4994841638
408	-0.4993808143
409	-0.4992764365
410	-0.4992321927
411	-0.4991612234
412	-0.4990734048
413	-0.4989934196
414	-0.4989155906
415	-0.4988675974
416	-0.498847969
417	-0.498780976
418	-0.4987402351
419	-0.4986983501
420	-0.4986313327
421	-0.4985953493
422	-0.4985386793
423	-0.4984360709
424	-0.4984079895
425	-0.4983182488
426	-0.4982706885
427	-0.498204808
428	-0.4981399213
429	-0.498081371
430	-0.4980095107
431	-0.4979145585
432	-0.4978235824
433	-0.497740035
434	-0.4976904438
435	-0.497644087
436	-0.4976019261
437	-0.4975539779
438	-0.4975269545
439	-0.4974719614
440	-0.4974094247
441	-0.4973965652
442	-0.4973081105
443	-0.4972709465
444	-0.497211273
445	-0.4971854643
446	-0.4971444188
447	-0.4970778236
448	-0.4969811058
449	-0.4969375101
450	-0.4968732643
451	-0.4967606735
452	-0.4967261629
453	-0.4966249729
454	-0.4966011992
455	-0.4965349953
456	-0.4965109876
457	-0.4964665964
458	-0.4963836026
459	-0.4963433436
460	-0.4962711268
461	-0.4961832354
462	-0.4961249345
463	-0.4960680474
464	-0.4959876005
465	-0.4959246414
466	-0.4958626474
467	-0.4958009483
468	-0.4957275382
469	-0.4956877353
470	-0.4956444866
471	-0.4955707001
472	-0.4955309648
473	-0.4954820367
474	-0.49543399
475	-0.4954050343
476	-0.495366326
477	-0.495326277
478	-0.4952867603
479	-0.4952086731
480	-0.495173459
481	-0.4951360422
482	-0.4950996975
483	-0.4950263264
484	-0.4950023579
485	-0.494917299
486	-0.4948475817
487	-0.4948117228
488	-0.4947939777
489	-0.4946925435
490	-0.4946310492
491	-0.4946276419
492	-0.4945972492
493	-0.494504168
494	-0.494488033
495	-0.4944302833
496	-0.4943998723
497	-0.4943449046
498	-0.4942711263
499	-0.4942248435
500	-0.4941865802
501	-0.494144411
502	-0.4941193222
503	-0.4940224421
504	-0.4940141322
505	-0.4939739639
506	-0.4939168266
507	-0.4938626932
508	-0.4937993249
509	-0.4937517604
510	-0.4937313212
511	-0.4936674309
512	-0.4936518863
513	-0.4935731861
514	-0.4935396555
515	-0.4934724448
516	-0.493428444
517	-0.4934042407
518	-0.4933065417
519	-0.4932833058
520	-0.4932191367
521	-0.4931601481
522	-0.4931003715
523	-0.4930852121
524	-0.4930524807
525	-0.4930013988
526	-0.4929237332
527	-0.4928920735
528	-0.4928462442
529	-0.4928243641
530	-0.4927934318
531	-0.4927531211
532	-0.4926920615
533	-0.4926521722
534	-0.4925872798
535	-0.4925577268
536	-0.4925108018
537	-0.4924037457
538	-0.4923344905
539	-0.4922909318
540	-0.4922642507
541	-0.4922158566
542	-0.4921649746
543	-0.4921363431
544	-0.4921128077
545	-0.4920547532
546	-0.4920166754
547	-0.4919506529
548	-0.4919263971
549	-0.4918876586
550	-0.4918771408
551	-0.4918539995
552	-0.4918382635
553	-0.4918328645
554	-0.4917705088
555	-0.4917353954
556	-0.4917028776
557	-0.4916568091
558	-0.4915886862
559	-0.4915178425
560	-0.4914770941
561	-0.4914578136
562	-0.4913887128
563	-0.4913370487
564	-0.4913027548
565	-0.4912345223
566	-0.4911870735
567	-0.4911325462
568	-0.4910600684
569	-0.4909904026
570	-0.490942003
571	-0.4909231479
572	-0.4908871516
573	-0.4908570577
574	-0.4907892819
575	-0.490773012
576	-0.4907564758
577	-0.4907177357
578	-0.4906753741
579	-0.4906310848
580	-0.4905845366
581	-0.4905676896
582	-0.4905035908
583	-0.4904750137
584	-0.4904003455
585	-0.4903830822
586	-0.4903571855
587	-0.4903148849
588	-0.4902700182
589	-0.4902522061
590	-0.4902163416
591	-0.4901870114
592	-0.4901567534
593	-0.490095567
594	-0.4900390091
595	-0.490016721
596	-0.4899912937
597	-0.4899486689
598	-0.4899158342
599	-0.489869346
600	-0.4898398893
601	-0.4898013189
602	-0.489759588
603	-0.4897543813
604	-0.4897083132
605	-0.4896531858
606	-0.489598198
607	-0.4895380333
608	-0.4894895248
609	-0.4894459844
610	-0.489379635
611	-0.4893637485
612	-0.4893291449
613	-0.4893024356
614	-0.4892406606
615	-0.4891761672
616	-0.4891407164
617	-0.4891093115
618	-0.4890789427
619	-0.4890370015
620	-0.4890041405
621	-0.4889697433
622	-0.488935565
623	-0.4889141051
624	-0.4889034458
625	-0.4888685755
626	-0.48882345
627	-0.4887985361
628	-0.4887693767
629	-0.4887124575
630	-0.4886983302
631	-0.4886801505
632	-0.48863323
633	-0.4886101532
634	-0.4885823377
635	-0.4885238398
636	-0.4884969683
637	-0.4884624077
638	-0.488413651
639	-0.4883648198
640	-0.4883146186
641	-0.4882705991
642	-0.4882630733
643	-0.4882346525
644	-0.4881985525
645	-0.4881578466
646	-0.4881306166
647	-0.4881186317
648	-0.4880882821
649	-0.4880453787
650	-0.4880107152
651	-0.4879547287
652	-0.4879259314
653	-0.4878916989
654	-0.4878532722
655	-0.4877955634
656	-0.4877699025
657	-0.487764307
658	-0.48773678
659	-0.4876877004
660	-0.4876578434
661	-0.4876442674
662	-0.487619306
663	-0.4875890547
664	-0.487552992
665	-0.4875228783
666	-0.4875102999
667	-0.487482989
668	-0.4874624438
669	-0.4874325127
670	-0.4873830198
671	-0.4873342044
672	-0.4872794125
673	-0.4872296469
674	-0.4871954534
675	-0.4871583243
676	-0.4871401867
677	-0.4871042353
678	-0.4870763508
679	-0.4870039442
680	-0.4869471154
681	-0.4869000491
682	-0.4868319757
683	-0.4867994608
684	-0.48677138
685	-0.4867268496
686	-0.4866732048
687	-0.4866226684
688	-0.4866065546
689	-0.4865667116
690	-0.4865140675
691	-0.4864651856
692	-0.4864322226
693	-0.4864060937
694	-0.4863842851
695	-0.4863436258
696	-0.4863244168
697	-0.4862972995
698	-0.4862783267
699	-0.4862046012
700	-0.486179812
701	-0.4861639008
702	-0.4861437022
703	-0.4861058558
704	-0.4860727341
705	-0.4860442285
706	-0.4860299567
707	-0.4859827095
708	-0.4859651704
709	-0.4859394536
710	-0.4858668276
711	-0.4858267323
712	-0.4858162955
713	-0.4857849423
714	-0.4857579762
715	-0.4857164991
716	-0.4857035424
717	-0.4856252018
718	-0.4856082301
719	-0.4855884837
720	-0.4855180773
721	-0.4855134932
722	-0.4854516069
723	-0.4854019775
724	-0.4853933879
725	-0.4853393449
726	-0.4852683501
727	-0.4852525436
728	-0.4852392709
729	-0.4852108962
730	-0.4851933708
731	-0.4851587362
732	-0.4851446186
733	-0.4851014725
734	-0.4850462631
735	-0.4849609412
736	-0.4849136576
737	-0.4848683169
738	-0.4848203194
739	-0.4847624005
740	-0.4847231803
741	-0.4846747118
742	-0.4846383328
743	-0.484604443
744	-0.4845443781
745	-0.4844950639
746	-0.4844623317
747	-0.4843710263
748	-0.4843408088
749	-0.4843318376
750	-0.4843052616
751	-0.4842802613
752	-0.4842622965
753	-0.4842221204
754	-0.4841571748
755	-0.4841448629
756	-0.4841268951
757	-0.4840881626
758	-0.4840618999
759	-0.4840478472
760	-0.4840318135
761	-0.4839903982
762	-0.4839667919
763	-0.4839328899
764	-0.4839102481
765	-0.483887708
766	-0.4838640749
767	-0.4838263446
768	-0.4838188112
769	-0.4837700479
770	-0.4837424611
771	-0.483733237
772	-0.4837283541
773	-0.4837167316
774	-0.483663514
775	-0.4836210595
776	-0.4836047359
777	-0.4835444754
778	-0.4834969109
779	-0.4834406806
780	-0.4833800064
781	-0.4833545585
782	-0.4833162115
783	-0.4832933613
784	-0.4832756639
785	-0.4832658778
786	-0.4832241155
787	-0.4832088982
788	-0.4831775259
789	-0.4831609161
790	-0.4831528357
791	-0.4831130844
792	-0.4830791723
793	-0.4830638269
794	-0.4830418066
795	-0.4830110459
796	-0.4829983709
797	-0.4829803895
798	-0.4829446619
799	-0.4829095577
800	-0.4828576207
801	-0.4828337598
802	-0.4828169987
803	-0.4827730476
804	-0.4827533163
805	-0.4827071429
806	-0.48266469
807	-0.4826532034
808	-0.4826311979
809	-0.4825745137
810	-0.4825506521
811	-0.4825389295
812	-0.4825140854
813	-0.4825046932
814	-0.4824776831
815	-0.4824547894
816	-0.482418668
817	-0.4823584104
818	-0.4823466558
819	-0.4823201346
820	-0.4822801751
821	-0.4822629551
822	-0.4822397617
823	-0.4822241193
824	-0.4821922708
825	-0.4821705587
826	-0.4821162978
827	-0.4820721075
828	-0.482006136
829	-0.4819798123
830	-0.4819477017
831	-0.4819216568
832	-0.4819090206
833	-0.4818725009
834	-0.4818428974
835	-0.4817913856
836	-0.4817584669
837	-0.4817438292
838	-0.4816642951
839	-0.481635607
840	-0.4816177701
841	-0.481604794
842	-0.4815631312
843	-0.4815291048
844	-0.4815178681
845	-0.4814561379
846	-0.4814107002
847	-0.4813522262
848	-0.4813214011
849	-0.4812887763
850	-0.4812698919
851	-0.4812331345
852	-0.4811932853
853	-0.4811757282
854	-0.4811617865
855	-0.4811485136
856	-0.4811411638
857	-0.4811026484
858	-0.4810705518
859	-0.4810345739
860	-0.4810141639
861	-0.4809888984
862	-0.4809731571
863	-0.480961521
864	-0.4809139867
865	-0.480903175
866	-0.4808928623
867	-0.4808471247
868	-0.4808174979
869	-0.4808031829
870	-0.4807699452
871	-0.4807510488
872	-0.4806986108
873	-0.48068194
874	-0.4806493777
875	-0.4806210351
876	-0.4806014796
877	-0.480581186
878	-0.4805381629
879	-0.4805284446
880	-0.480496959
881	-0.4804551708
882	-0.4804185322
883	-0.4803616363
884	-0.4803371284
885	-0.4803274337
886	-0.4803240241
887	-0.4802780248
888	-0.4802424762
889	-0.4802095414
890	-0.4801627409
891	-0.4801140037
892	-0.4800485349
893	-0.4800321334
894	-0.4800082358
895	-0.4800008228
896	-0.4799728665
897	-0.4799644393
898	-0.479901444
899	-0.4798565407
900	-0.4798428573
901	-0.4798114796
902	-0.4797697705
903	-0.4797407908
904	-0.4797211721
905	-0.479691011
906	-0.4796665674
907	-0.4796037339
908	-0.4795907334
909	-0.4795311371
910	-0.4794796243
911	-0.479456501
912	-0.479418558
913	-0.479402268
914	-0.4793733802
915	-0.4793543344
916	-0.4793490159
917	-0.4793391622
918	-0.4793227444
919	-0.4792907363
920	-0.4792360741
921	-0.479206411
922	-0.4791750523
923	-0.4791646023
924	-0.4791041513
925	-0.4790193137
926	-0.4789815893
927	-0.4789233829
928	-0.4789002097
929	-0.4788862738
930	-0.4788454337
931	-0.478824244
932	-0.4788165958
933	-0.4787902326
934	-0.478750461
935	-0.4787299847
936	-0.4787094058
937	-0.4786968835
938	-0.478679813
939	-0.4786616944
940	-0.4786187522
941	-0.4785846546
942	-0.4785616891
943	-0.4785313962
944	-0.4785028027
945	-0.4784464979
946	-0.4784201682
947	-0.4783968061
948	-0.4783701976
949	-0.4783366216
950	-0.4783232851
951	-0.4783101717
952	-0.4782812041
953	-0.4782391554
954	-0.4782011556
955	-0.4781791995
956	-0.4781542341
957	-0.4781134653
958	-0.4780742867
959	-0.478061646
960	-0.4780554967
961	-0.4780255686
962	-0.4780096808
963	-0.477983957
964	-0.4779551795
965	-0.4779385833
966	-0.4779062794
967	-0.4778800846
968	-0.4778614565
969	-0.4778487809
970	-0.4778454405
971	-0.4778291409
972	-0.4778137708
973	-0.4778024623
974	-0.4777646491
975	-0.4777258539
976	-0.4776810496
977	-0.4776474376
978	-0.4776123222
979	-0.4775681472
980	-0.4775520492
981	-0.4775328303
982	-0.4775057675
983	-0.4774716255
984	-0.4774398204
985	-0.4774078345
986	-0.4773926176
987	-0.4773829473
988	-0.477353275
989	-0.4773352829
990	-0.4773211895
991	-0.4772993597
992	-0.4772705768
993	-0.4772041481
994	-0.4771924011
995	-0.4771749705
996	-0.47716021
997	-0.4770944201
998	-0.4770845189
999	-0.4770379476
